,bbrefID,Date,G,Age,Team,is_away,Opp,win_loss,goals,assists,pts,plus_minus,pim,g_ev,g_pp,g_sh,g_gw,a_ev,a_pp,a_sh,shots,shooting_pct,shifts,toi,hits,blocks,fow,fol,fo_pct
2,voracja01,2017-10-07,3,28-053,PHI,@,ANA,W,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,22,17:55,1,0,0,0,
0,martipa01,2017-10-04,1,36-213,SJS,,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,16:34,0,2,0,0,
1,martipa01,2017-10-07,2,36-216,SJS,,LAK,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,18,10:55,0,0,0,0,
0,nyquigu01,2017-10-05,1,28-034,DET,,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,25,17:49,0,0,0,0,
1,nyquigu01,2017-10-07,2,28-036,DET,@,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,21:30,0,0,0,1,0.0
0,carlsjo01,2017-10-05,1,27-268,WSH,@,OTT,W,0,0,0,-3,0,0,0,0,0,0,0,0,3,0.0,33,27:45,2,1,0,0,
1,carlsjo01,2017-10-07,2,27-270,WSH,,MTL,W,0,1,1,2,2,0,0,0,0,1,0,0,1,0.0,32,23:08,1,3,0,0,
0,chiasal01,2017-10-05,1,27-004,WSH,@,OTT,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,11:45,0,0,1,2,33.3
1,chiasal01,2017-10-07,2,27-006,WSH,,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:38,1,0,0,0,
0,shattke01,2017-10-05,1,28-249,NYR,,COL,L,0,1,1,-3,0,0,0,0,0,0,1,0,2,0.0,24,23:48,0,3,0,0,
1,shattke01,2017-10-07,2,28-251,NYR,@,TOR,L,1,1,2,0,2,0,1,0,0,0,1,0,3,33.3,32,25:05,3,2,0,0,
2,shattke01,2017-10-08,3,28-252,NYR,,MTL,W,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,26,21:41,3,0,0,0,
0,staalma01,2017-10-05,1,30-265,NYR,,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,15:20,4,2,0,0,
1,staalma01,2017-10-07,2,30-267,NYR,@,TOR,L,1,1,2,0,0,1,0,0,0,1,0,0,1,100.0,32,18:51,2,1,0,0,
2,staalma01,2017-10-08,3,30-268,NYR,,MTL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,24,19:08,0,1,0,0,
0,grybaer01,2017-10-04,1,29-173,EDM,,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,17:56,2,2,0,0,
1,grybaer01,2017-10-07,2,29-176,EDM,@,VAN,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,19,12:35,3,0,0,0,
0,moorejo01,2017-10-07,1,26-322,NJD,,COL,W,1,0,1,0,2,0,0,1,0,0,0,0,4,25.0,30,18:45,3,1,0,0,
0,matthau01,2017-10-04,1,20-017,TOR,@,WPG,W,1,2,3,2,0,1,0,0,0,2,0,0,1,100.0,22,15:19,0,1,3,7,30.0
1,matthau01,2017-10-07,2,20-020,TOR,,NYR,W,0,1,1,2,0,0,0,0,0,0,1,0,3,0.0,26,18:36,1,1,7,7,50.0
0,mcdavco01,2017-10-04,1,20-264,EDM,,CGY,W,3,0,3,3,0,3,0,0,1,0,0,0,7,42.9,25,19:32,0,0,0,0,
1,mcdavco01,2017-10-07,2,20-267,EDM,@,VAN,L,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,24,24:38,1,0,2,2,50.0
0,jarnkca01,2017-10-05,1,26-010,NSH,@,BOS,L,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,24,12:44,0,0,2,11,15.4
1,jarnkca01,2017-10-07,2,26-012,NSH,@,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,26,18:27,1,2,11,7,61.1
0,stonemi01,2017-10-04,1,27-119,CGY,@,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,18:21,2,1,0,0,
1,stonemi01,2017-10-07,2,27-122,CGY,,WPG,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,18,14:26,1,1,0,0,
